NOMBRE;PROGRAMA;SEMESTRE ;HORAS
ACUERDOS Y GEOPOLITICA;NEGOCIOS INTERNACIONALES;3;25
ADMINISTRACION DE TALENTO HUMANO;ASISTENTE EJECUTIVA EN ALTA GERENCIA;4;25
ADMINISTRACION EMPRESARIAL;ADMINISTRACION EMPRESARIAL Y DEL TALENTO HUMANO;2;25
ADMINISTRACION I;SISTEMAS CONTABLES;1;25
ADMON DE LA IMPORTACION;NEGOCIOS INTERNACIONALES;3;25
ADMON DE TALENTO HUMANO;SISTEMAS CONTABLES;2;25
ANALISIS FINANCIERO;ADMINISTRACION FINANCIERA Y COMERCIAL;4;25
ANALISIS FINANCIERO;SISTEMAS CONTABLES;4;25
ANALISIS Y DISEÑO DE SISTEMAS;MANTENIMIENTO DE COMPUTADORES;2;25
ANIMACION 2D;DISEÑO GRAFICO Y PUBLICITARIO;4;25
ARQUITECTURA DE COMPUTAD.;MANTENIMIENTO DE COMPUTADORES;3;25
AUDITORIA CONTABLE;SISTEMAS CONTABLES;3;25
BASES DE DATOS;MANTENIMIENTO DE COMPUTADORES;4;25
CALCULO;MANTENIMIENTO DE COMPUTADORES;2;25
COCINA BASICA;HOTELERIA Y TURISMO;4;25
COMERCIO INTERNACIONAL;NEGOCIOS INTERNACIONALES;1;25
COMUNICACIÓN EMPRESARIAL;ADMINISTRACION EMPRESARIAL Y DEL TALENTO HUMANO;2;25
CONSERVACION DE ALIMENTOS;HOTELERIA Y TURISMO;2;25
CONTABILIDAD I;SISTEMAS CONTABLES;1;25
CONTABILIDAD II;SISTEMAS CONTABLES;2;25
CONTABILIDAD SISTEMATIZADA;SISTEMAS CONTABLES;4;25
COSTOS;SISTEMAS CONTABLES;3;25
CRIMINALISTICA;PROCEDIMIENTOS JUDICIALES  ;4;25
DERECHO CIVIL GENERAL;PROCEDIMIENTOS JUDICIALES  ;1;25
DERECHO COMERCIAL;SISTEMAS CONTABLES;2;25
DERECHO CONSTITUCIONAL;SISTEMAS CONTABLES;1;25
DERECHO LABORAL;SISTEMAS CONTABLES;3;25
